institution_id,institution_name,course_id,course_name,foe1_broad_field,foe1_narrow_field,foe1_detailed_field,course_level,course_duration,tuition_fee,non_tuition_fee,total_course_cost
00025B,The University of Queensland,037367G,Bachelor of Agribusiness,08 - Management and Commerce,0803 - Business and Management,080321 - Farm Management and Agribusiness,Bachelor Degree,156,141556.0,10579.0,152135.0
00025B,The University of Queensland,037400A,Graduate Certificate in Public Health,06 - Health,0613 - Public Health,"061300 - Public Health, n.f.d.",Graduate Certificate,26,17384.0,586.0,17970.0
00025B,The University of Queensland,037519G,Master of Business,08 - Management and Commerce,0803 - Business and Management,"080300 - Business and Management, n.f.d.",Masters Degree (Coursework),78,67392.0,1665.0,69057.0
00025B,The University of Queensland,037701K,Bachelor of International Hotel and Tourism Management,08 - Management and Commerce,0803 - Business and Management,080323 - Tourism Management,Bachelor Degree,156,134577.0,3079.0,137656.0
00025B,The University of Queensland,038548F,Master of Science,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",Masters Degree (Coursework),78,71336.0,1665.0,73001.0
00025B,The University of Queensland,038553J,Graduate Certificate in Business,08 - Management and Commerce,0803 - Business and Management,"080300 - Business and Management, n.f.d.",Graduate Certificate,26,21600.0,586.0,22186.0
00025B,The University of Queensland,038556F,Master of Governance and Public Policy,09 - Society and Culture,0901 - Political Science and Policy Studies ,090103 - Policy Studies,Masters Degree (Coursework),78,50619.0,1665.0,52284.0
00025B,The University of Queensland,039545A,Master of Physiotherapy Studies,06 - Health,0617 - Rehabilitation Therapies,061701 - Physiotherapy,Masters Degree (Coursework),104,124053.0,2247.0,126300.0
00025B,The University of Queensland,042119D,Bachelor of Information Technology/Bachelor of Science,02 - Information Technology,0200 - Information Technology,"020000 - Information Technology, n.f.d.",Bachelor Degree,208,199902.0,6478.0,206380.0
00025B,The University of Queensland,043735E,Bachelor of Science/Bachelor of Journalism,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",Bachelor Degree,208,184154.0,6478.0,190632.0
00025B,The University of Queensland,043736D,Bachelor of Communication,10 - Creative Arts,1007 - Communication and Media Studies,"100700 - Communication and Media Studies, n.f.d.",Bachelor Degree,156,111299.0,3091.0,114390.0
00025B,The University of Queensland,045400A,Bachelor of Business Management/Bachelor of Information Technology,08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",Bachelor Degree,208,198573.0,4348.0,202921.0
00025B,The University of Queensland,045401M,Bachelor of Commerce/Bachelor of Information Technology,08 - Management and Commerce,0800 - Management and Commerce,"080000 - Management and Commerce, n.f.d.",Bachelor Degree,208,198573.0,4348.0,202921.0
