location_name,address_line_1,city,state,postcode
Deakin University Geelong Waterfront Campus,1 Gheringhap St,GEELONG,VIC,3220
"Deakin University, Geelong Waurn Ponds Campus",Deakin University,Geelong,VIC,3220
"Deakin University, Warrnambool Campus",Deakin University Warrnambool Campus,Warrnambool,VIC,3280
Adelaide College of the Arts,39 Light Sq,ADELAIDE,SA,5000
Bedford Park,Sturt Rd,BEDFORD PARK,SA,5042
Flinders City Campus,1 Festival Tower,Adelaide,SA,5000
Riverland Campus-Renmark and Paringa District Hospital,Renmark and Paringa District Hospital,Renmark,SA,5341
Tonsley,1284 South Rd,CLOVELLY PARK,SA,5042
Victoria Square,182 Victoria Sq,Adelaide,SA,5001
Albury-Wodonga Campus,University Dr,Wodonga,VIC,3689
Bendigo Campus,La Trobe University,Flora Hill,VIC,3550
City Campus (Collins Street),"Level 2,3 and 20",Melbourne,VIC,3000
Epping Campus,415 Dalton Rd,Epping,VIC,3076
La Trobe University Sydney Campus,255 Elizabeth St,Sydney,NSW,2000
Melbourne (Bundoora) Campus,Kingsbury Dr,BUNDOORA,VIC,3083
Mildura Campus,La Trobe University,Mildura,VIC,3502
Shepparton Campus,La Trobe University,Shepparton,VIC,3262
"234 St. Kilda Road,Southbank (SouthBank campus)",234 St. Kilda Road,Southbank,VIC,3006
"500 Yarra Boulevard, Richmond (Burnley campus)",500 Yarra Boulevard,Richmond,VIC,3121
The University of Melbourne,Swanston St,PARKVILLE,VIC,3052
James Cook University - Cairns,McGregor Rd,Smithfield,QLD,4878
James Cook University - Townsville,James Cook Dr,TOWNSVILLE,QLD,4810
James Cook University Brisbane Campus(JCU),349 Queen St,BRISBANE,QLD,4000
Australian National University,Division of Registrar and Student Services,Canberra City West,ACT,2601
Mount Stromlo Observatory,Mount Stromlo Observatory,Weston Creek,ACT,2611
"Flight Training Adelaide, Hangar 55 Kittyhawk Lane, Parafield Airport, SA 5106",Hangar 55 Kittyhawk Lan,Parafield Airport,SA,5106
"Rising Sun Pictures, 180-200 Pulteney Street and 190 Flinders Street, Adelaide, SA 5000",180-200 Pulteney Street,Adelaide,SA,5000
"University of South Australia, City East Campus",101 Currie St,ADELAIDE,SA,5000
"University of South Australia, City West Campus",101 Currie St,ADELAIDE,SA,5000
"University of South Australia, Magill Campus",St Bernards Rd,MAGILL,SA,5072
"University of South Australia, Mawson Lakes Campus",Mawson Lakes Blvd,Mawson Lakes,SA,5095
"University of South Australia, Mount Gambier Campus",Wireless Rd,MOUNT GAMBIER,SA,5290
"University of South Australia, Whyalla Campus",111 Nicolson Ave,WHYALLA NORRIE,SA,5608
Brunswick Campus 25 Dawson Street,25 Dawson St,Brunswick,VIC,3056
"Bundoora Campus, Plenty Road, Bundoora Vic 3083",225 Plenty Rd,Bundoora,VIC,3083
Melbourne Cricket Education Academy - 124 La Trobe St MELBOURNE VIC 3000,124 La Trobe St,Melbourne,VIC,3000
"Myjet Hanger, Bendigo Airport",Building 460,East Bendigo,VIC,3550
"Point Cook Campus, RAAF Williams base",Williams Rd,Point Cook,VIC,3030
"RMIT University - 124 Latrobe Street, Melbourne",124 Latrobe St,Melbourne,VIC,3000
Regency Park Campus,137 Days Rd,REGENCY PARK,SA,5010
The University of Adelaide College,132 Grenfell St,Adelaide,SA,5000
"The University of Adelaide, Melbourne Campus",Level 3,Melbourne,VIC,3000
"The University of Adelaide, North Terrace",230 North Tce,AUSTRALIA,SA,5005
"The University of Adelaide, Roseworthy Campus",Philp Dr via Mudla Wirra Rd,Wasleys,SA,5371
"The University of Adelaide, Waite Campus",Waite Rd,Urrbrae,SA,5064
Victoria University City Campus (City Tower),Victoria University City Campus,Melbourne,VIC,3000
Victoria University Footscray Nicholson,2 Lawson St,FOOTSCRAY,VIC,3011
Victoria University Footscray Park,Ballarat Rd,FOOTSCRAY,VIC,3011
Victoria University St Albans,3 Andrea St,ST ALBANS,VIC,3021
Victoria University Sunshine,460 Ballarat Rd,SUNSHINE,VIC,3020
Victoria University Werribee,237 Hoppers Lane,WERRIBEE,VIC,3030
Murdoch University (Murdoch),South St,Murdoch,WA,6150
Murdoch University (Peel),15 Carlten Pl,Mandurah,WA,6210
The University of Western Australia,35 Stirling Hwy,CRAWLEY,WA,6009
The University of Western Australia (Albany Centre),35 Stirling Hwy,CRAWLEY,WA,6009
UWA College,35 Stirling Highway,Crawley,WA,6009
Ballarat and Queen's Anglican Grammar,201 Forest St,WENDOUREE,VIC,3355
Billanook College,197 Cardigan Rd,MOOROOLBARK,VIC,3138
Brighton Grammar School,90 Outer Cres,BRIGHTON,VIC,3186
